Drain TotalCurrent(main_m0p01_fet_dut_nanosheet_ns2_2D_NMOS_idvg) X,Drain TotalCurrent(main_m0p01_fet_dut_nanosheet_ns2_2D_NMOS_idvg) Y,Source TotalCurrent(main_m0p01_fet_dut_nanosheet_ns2_2D_NMOS_idvg) X,Source TotalCurrent(main_m0p01_fet_dut_nanosheet_ns2_2D_NMOS_idvg) Y,Gate TotalCurrent(main_m0p01_fet_dut_nanosheet_ns2_2D_NMOS_idvg) X,Gate TotalCurrent(main_m0p01_fet_dut_nanosheet_ns2_2D_NMOS_idvg) Y
-0.5,5.6865438e-17,-0.5,-5.6865452e-17,-0.5,0
-0.45,3.0145211e-16,-0.45,-3.0145211e-16,-0.45,0
-0.4,1.5977603e-15,-0.4,-1.5977603e-15,-0.4,0
-0.35,8.4602167e-15,-0.35,-8.4602167e-15,-0.35,0
-0.3,4.4739008e-14,-0.3,-4.4739008e-14,-0.3,0
-0.25,2.3621229e-13,-0.25,-2.3621229e-13,-0.25,0
-0.2,1.2447526e-12,-0.2,-1.2447526e-12,-0.2,0
-0.15,6.543956e-12,-0.15,-6.543956e-12,-0.15,0
-0.1,3.4302628e-11,-0.1,-3.4302628e-11,-0.1,0
-0.05,1.7914684e-10,-0.05,-1.7914684e-10,-0.05,0
-5.5511151e-17,9.3114144e-10,-5.5511151e-17,-9.3114145e-10,-5.5511151e-17,0
0.05,4.8090321e-09,0.05,-4.8090322e-09,0.05,0
0.1,2.4618488e-08,0.1,-2.4618489e-08,0.1,0
0.15,1.2439378e-07,0.15,-1.2439378e-07,0.15,0
0.2,6.1535589e-07,0.2,-6.1535589e-07,0.2,0
0.25,2.9253267e-06,0.25,-2.9253267e-06,0.25,0
0.3,1.2743032e-05,0.3,-1.2743032e-05,0.3,0
0.35,4.5529065e-05,0.35,-4.5529065e-05,0.35,0
0.4,0.00011536862,0.4,-0.00011536862,0.4,0
0.45,0.00020532424,0.45,-0.00020532424,0.45,0
0.5,0.00029022885,0.5,-0.00029022885,0.5,0
0.55,0.00036152691,0.55,-0.00036152692,0.55,0
0.6,0.00041967774,0.6,-0.00041967774,0.6,0
0.65,0.00046719479,0.65,-0.00046719479,0.65,0
0.7,0.00050651965,0.7,-0.00050651965,0.7,0
0.75,0.00053958755,0.75,-0.00053958755,0.75,0
0.8,0.00056784223,0.8,-0.00056784223,0.8,0
0.85,0.00059234326,0.85,-0.00059234326,0.85,0
0.9,0.00061386969,0.9,-0.00061386969,0.9,0
0.95,0.00063300023,0.95,-0.00063300023,0.95,0
1,0.00065017091,1,-0.00065017062,1,0
1.05,0.00066571475,1.05,-0.00066571461,1.05,0
1.1,0.00067989095,1.1,-0.00067989088,1.1,0
1.15,0.00069290357,1.15,-0.00069290353,1.15,0
1.2,0.00070491574,1.2,-0.00070491572,1.2,0
1.25,0.00071605953,1.25,-0.00071605951,1.25,0
1.3,0.00072644318,1.3,-0.00072644317,1.3,0
1.35,0.00073615636,1.35,-0.00073615635,1.35,0
1.4,0.0007452741,1.4,-0.0007452741,1.4,0
1.45,0.00075385976,1.45,-0.00075385976,1.45,0
1.5,0.00076196732,1.5,-0.00076196731,1.5,0

